date,age_group,gender,channel,sentiment,review
2025-03-23,46-60,Male,Branch D,Negative,Long wait time and some confusion with the teller.
2025-05-26,26-35,Female,Branch C,Extremely Positive,Fantastic experience with my loan application
2025-02-07,60+,Male,Branch A,Extremely Negative,Terrible customer service and unresolved issues.
2025-02-14,26-35,Male,Branch A,Neutral,Just a regular visit to the branch.
2025-01-02,46-60,Male,Online,Extremely Negative,Worst experience at a bank ever. Totally unprofessional.
2025-04-12,36-45,Female,Branch A,Negative,"Support could be improved, not very responsive. Support could be improved, not very responsive. Support could be improved, not very responsive. Support could be improved, not very responsive."
2025-05-30,36-45,Female,Online,Extremely Positive,Fantastic experience with my loan application. Fast and smooth process.
2025-01-10,18-25,Male,Mobile App,Neutral,"Banking experience was fine, nothing noteworthy."
2025-04-10,36-45,Female,Online,Positive,Happy with the online banking features.
2025-02-20,18-25,Male,Mobile App,Extremely Positive,Fantastic experience with my loan application. Fast and smooth process.
2025-04-27,18-25,Female,Branch B,Extremely Negative,Very disappointed with the service. Will consider switching banks.
2025-02-03,36-45,Male,Branch A,Positive,Happy with the online banking features.
2025-05-02,60+,Female,Branch A,Extremely Negative,Terrible customer service and unresolved issues.
2025-04-30,26-35,Female,Mobile App,Extremely Negative,Very disappointed with the service. Will consider switching banks.
2025-05-20,46-60,Female,Branch B,Extremely Negative,Worst experience at a bank ever. Totally unprofessional.
2025-01-14,36-45,Female,Branch B,Normal,"Got my transaction done, no issues."
2025-05-11,26-35,Female,Online,Normal,"Got my transaction done, no issues. Got my transaction done, no issues."
2025-03-11,46-60,Female,Branch A,Normal,"Service was okay, like usual. Service was okay, like usual. Service was okay, like usual. Service was okay, like usual. Service was okay, like usual."
2025-04-16,36-45,Female,Branch D,Negative,"Support could be improved, not very responsive. Support could be improved, not very responsive. Support could be improved, not very responsive."
2025-04-26,60+,Male,Branch D,Negative,Had issues accessing my account online.
2025-03-15,36-45,Male,Branch D,Normal,"Service was okay, like usual."
2025-03-01,46-60,Female,Mobile App,Extremely Negative,Worst experience at a bank ever. Totally unprofessional.
